zip,state,NAME,B19113I_001E,B19113I_001M,B19113I_001MA,B19113I_001EA
11804,New York,ZCTA5 11804,-666666666.0,-222222222.0,**,-
11930,New York,ZCTA5 11930,-666666666.0,-222222222.0,**,-
11941,New York,ZCTA5 11941,-666666666.0,-222222222.0,**,-
11962,New York,ZCTA5 11962,-666666666.0,-222222222.0,**,-
11702,New York,ZCTA5 11702,77019.0,52739.0,,
11710,New York,ZCTA5 11710,136398.0,57923.0,,
11530,New York,ZCTA5 11530,168477.0,65544.0,,
11566,New York,ZCTA5 11566,149583.0,34089.0,,
11705,New York,ZCTA5 11705,96574.0,85909.0,,
11709,New York,ZCTA5 11709,119417.0,100399.0,,
11714,New York,ZCTA5 11714,133750.0,64841.0,,
11722,New York,ZCTA5 11722,75411.0,10762.0,,
11725,New York,ZCTA5 11725,131523.0,33429.0,,
11727,New York,ZCTA5 11727,91582.0,14870.0,,
11730,New York,ZCTA5 11730,119926.0,95964.0,,
11746,New York,ZCTA5 11746,70125.0,15167.0,,
11765,New York,ZCTA5 11765,250001.0,-333333333.0,***,"250,000+"
11767,New York,ZCTA5 11767,101702.0,92062.0,,
11769,New York,ZCTA5 11769,221339.0,95919.0,,
11901,New York,ZCTA5 11901,63059.0,23609.0,,
11950,New York,ZCTA5 11950,102409.0,18129.0,,
11952,New York,ZCTA5 11952,-666666666.0,-222222222.0,**,-
11717,New York,ZCTA5 11717,79418.0,8132.0,,
11718,New York,ZCTA5 11718,-666666666.0,-222222222.0,**,-
11733,New York,ZCTA5 11733,181875.0,57521.0,,
11742,New York,ZCTA5 11742,160547.0,68576.0,,
11753,New York,ZCTA5 11753,-666666666.0,-222222222.0,**,-
11756,New York,ZCTA5 11756,122593.0,16666.0,,
11763,New York,ZCTA5 11763,98401.0,21933.0,,
11766,New York,ZCTA5 11766,137952.0,106484.0,,
11771,New York,ZCTA5 11771,44523.0,31001.0,,
11778,New York,ZCTA5 11778,206313.0,27198.0,,
11222,New York,ZCTA5 11222,72455.0,53131.0,,
11233,New York,ZCTA5 11233,35185.0,3019.0,,
11235,New York,ZCTA5 11235,42245.0,8105.0,,
11426,New York,ZCTA5 11426,112361.0,48492.0,,
11427,New York,ZCTA5 11427,83542.0,15803.0,,
11042,New York,ZCTA5 11042,-666666666.0,-222222222.0,**,-
11101,New York,ZCTA5 11101,46768.0,5023.0,,
11205,New York,ZCTA5 11205,44256.0,13091.0,,
11215,New York,ZCTA5 11215,91855.0,11569.0,,
11219,New York,ZCTA5 11219,47801.0,10984.0,,
11226,New York,ZCTA5 11226,50434.0,5164.0,,
11228,New York,ZCTA5 11228,62269.0,10178.0,,
11236,New York,ZCTA5 11236,68321.0,13411.0,,
14706,New York,ZCTA5 14706,-666666666.0,-222222222.0,**,-
14709,New York,ZCTA5 14709,-666666666.0,-222222222.0,**,-
14710,New York,ZCTA5 14710,-666666666.0,-222222222.0,**,-
14711,New York,ZCTA5 14711,-666666666.0,-222222222.0,**,-
14729,New York,ZCTA5 14729,-666666666.0,-222222222.0,**,-
14011,New York,ZCTA5 14011,51493.0,20945.0,,
14020,New York,ZCTA5 14020,32500.0,21034.0,,
14030,New York,ZCTA5 14030,-666666666.0,-222222222.0,**,-
14132,New York,ZCTA5 14132,-666666666.0,-222222222.0,**,-
14201,New York,ZCTA5 14201,19442.0,5321.0,,
14206,New York,ZCTA5 14206,22500.0,6596.0,,
14210,New York,ZCTA5 14210,35529.0,6250.0,,
14222,New York,ZCTA5 14222,129063.0,64099.0,,
14301,New York,ZCTA5 14301,22381.0,9984.0,,
12737,New York,ZCTA5 12737,135568.0,59646.0,,
12738,New York,ZCTA5 12738,-666666666.0,-222222222.0,**,-
12740,New York,ZCTA5 12740,30625.0,20380.0,,
12754,New York,ZCTA5 12754,-666666666.0,-222222222.0,**,-
12758,New York,ZCTA5 12758,-666666666.0,-222222222.0,**,-
12815,New York,ZCTA5 12815,-666666666.0,-222222222.0,**,-
12822,New York,ZCTA5 12822,-666666666.0,-222222222.0,**,-
12827,New York,ZCTA5 12827,-666666666.0,-222222222.0,**,-
12841,New York,ZCTA5 12841,-666666666.0,-222222222.0,**,-
12842,New York,ZCTA5 12842,-666666666.0,-222222222.0,**,-
12845,New York,ZCTA5 12845,-666666666.0,-222222222.0,**,-
12852,New York,ZCTA5 12852,-666666666.0,-222222222.0,**,-
12858,New York,ZCTA5 12858,-666666666.0,-222222222.0,**,-
12860,New York,ZCTA5 12860,-666666666.0,-222222222.0,**,-
12863,New York,ZCTA5 12863,-666666666.0,-222222222.0,**,-
12865,New York,ZCTA5 12865,-666666666.0,-222222222.0,**,-
12169,New York,ZCTA5 12169,-666666666.0,-222222222.0,**,-
12176,New York,ZCTA5 12176,-666666666.0,-222222222.0,**,-
12185,New York,ZCTA5 12185,-666666666.0,-222222222.0,**,-
12202,New York,ZCTA5 12202,27222.0,11315.0,,
12008,New York,ZCTA5 12008,-666666666.0,-222222222.0,**,-
12028,New York,ZCTA5 12028,-666666666.0,-222222222.0,**,-
12035,New York,ZCTA5 12035,-666666666.0,-222222222.0,**,-
12061,New York,ZCTA5 12061,-666666666.0,-222222222.0,**,-
12092,New York,ZCTA5 12092,-666666666.0,-222222222.0,**,-
12110,New York,ZCTA5 12110,39946.0,14131.0,,
12147,New York,ZCTA5 12147,-666666666.0,-222222222.0,**,-
12160,New York,ZCTA5 12160,-666666666.0,-222222222.0,**,-
12180,New York,ZCTA5 12180,35133.0,5643.0,,
12184,New York,ZCTA5 12184,-666666666.0,-222222222.0,**,-
